"Timestamp","Level","Category","Message","Context"
"2025-10-02T16:35:53.030Z","info","system","Auto-dismissed alerts for session: Event: timer_resume","{"sessionId":"290a82f1-b33f-49e1-b160-d4e54475dbc8","reason":"Event: timer_resume"}"
"2025-10-02T16:35:53.028Z","info","session","Timer resumed by operator","{"sessionId":"290a82f1-b33f-49e1-b160-d4e54475dbc8","gameName":"Pirate Mutiny","roomName":"Main"}"
"2025-10-02T15:58:46.195Z","info","system","Alert created: ⏸ Game Paused","{"alertId":"alert-BinhSFVlK4Yx","sessionId":"290a82f1-b33f-49e1-b160-d4e54475dbc8","level":"warning"}"
"2025-10-02T15:58:46.192Z","info","session","Timer paused by operator","{"sessionId":"290a82f1-b33f-49e1-b160-d4e54475dbc8","gameName":"Pirate Mutiny","roomName":"Main"}"
"2025-10-02T15:54:08.728Z","info","session","Timer started","{"sessionId":"290a82f1-b33f-49e1-b160-d4e54475dbc8","gameName":"Pirate Mutiny","roomName":"Main"}"
"2025-10-02T15:03:06.859Z","info","session","Session completed - timer expired","{"sessionId":"2f5da85a-8d0f-4de2-a108-f11a04ee7095","gameName":"Pirate Mutiny","roomName":"Main"}"
"2025-10-02T15:03:06.857Z","info","system","Auto-dismissed alerts for session: Session completed","{"sessionId":"2f5da85a-8d0f-4de2-a108-f11a04ee7095","reason":"Session completed"}"
"2025-10-02T15:01:27.524Z","info","system","Alert created: ⏱ Low Time Remaining","{"alertId":"alert-WCTk2n4oE7Mk","sessionId":"2f5da85a-8d0f-4de2-a108-f11a04ee7095","level":"warning"}"
"2025-10-02T14:56:26.555Z","info","session","Timer started","{"sessionId":"2f5da85a-8d0f-4de2-a108-f11a04ee7095","gameName":"Pirate Mutiny","roomName":"Main"}"
"2025-10-02T14:28:26.894Z","info","session","Timer reset by operator","{"sessionId":"2f5da85a-8d0f-4de2-a108-f11a04ee7095","gameName":"Pirate Mutiny","roomName":"Main"}"
"2025-10-02T14:27:34.021Z","info","rbac","Deleted custom role: Custom","{"roleId":"1696fe66-f7c9-4193-bcc2-d5baf279ca75"}"
"2025-10-02T14:21:12.333Z","info","rbac","Updated permissions for role: Custom","{"roleId":"1696fe66-f7c9-4193-bcc2-d5baf279ca75","permissionCount":5,"grantedBy":"13DJqQj7NJMjncwJN0mOs8OvkU6G5TxB"}"
"2025-10-02T14:21:10.854Z","info","rbac","Updated permissions for role: Custom","{"roleId":"1696fe66-f7c9-4193-bcc2-d5baf279ca75","permissionCount":4,"grantedBy":"13DJqQj7NJMjncwJN0mOs8OvkU6G5TxB"}"
"2025-10-02T14:21:02.821Z","info","rbac","Created custom role: Custom","{"roleId":"1696fe66-f7c9-4193-bcc2-d5baf279ca75","roleName":"Custom"}"
"2025-10-02T06:58:00.254Z","info","session","Session completed - timer expired","{"sessionId":"2f5da85a-8d0f-4de2-a108-f11a04ee7095","gameName":"Pirate Mutiny","roomName":"Main"}"
"2025-10-02T06:58:00.253Z","info","system","Auto-dismissed alerts for session: Session completed","{"sessionId":"2f5da85a-8d0f-4de2-a108-f11a04ee7095","reason":"Session completed"}"
"2025-10-02T06:56:20.342Z","info","system","Alert created: ⏱ Low Time Remaining","{"alertId":"alert-Cylk_OqkLaS9","sessionId":"2f5da85a-8d0f-4de2-a108-f11a04ee7095","level":"warning"}"
"2025-10-02T06:51:19.845Z","info","session","Timer started","{"sessionId":"2f5da85a-8d0f-4de2-a108-f11a04ee7095","gameName":"Pirate Mutiny","roomName":"Main"}"
"2025-10-02T06:49:18.132Z","info","session","Timer reset by operator","{"sessionId":"2f5da85a-8d0f-4de2-a108-f11a04ee7095","gameName":"Pirate Mutiny","roomName":"Main"}"
"2025-10-02T06:42:34.731Z","info","session","Session completed - timer expired","{"sessionId":"2f5da85a-8d0f-4de2-a108-f11a04ee7095","gameName":"Pirate Mutiny","roomName":"Main"}"
"2025-10-02T06:42:34.729Z","info","system","Auto-dismissed alerts for session: Session completed","{"sessionId":"2f5da85a-8d0f-4de2-a108-f11a04ee7095","reason":"Session completed"}"
"2025-10-02T06:40:52.758Z","info","system","Alert created: ⏱ Low Time Remaining","{"alertId":"alert-7oHctSxD2Yzs","sessionId":"2f5da85a-8d0f-4de2-a108-f11a04ee7095","level":"warning"}"
"2025-10-02T06:27:46.349Z","info","session","Session completed - timer expired","{"sessionId":"2c12e3f9-44ef-4f92-ae6a-60cd1e9c37eb","gameName":"Pirate Mutiny","roomName":"Main"}"
"2025-10-02T06:27:46.349Z","info","system","Auto-dismissed alerts for session: Session completed","{"sessionId":"2c12e3f9-44ef-4f92-ae6a-60cd1e9c37eb","reason":"Session completed"}"
"2025-10-02T06:26:06.467Z","info","system","Alert created: ⏱ Low Time Remaining","{"alertId":"alert-yiQzgDZrrJ71","sessionId":"2c12e3f9-44ef-4f92-ae6a-60cd1e9c37eb","level":"warning"}"
"2025-10-02T06:15:54.836Z","info","session","Session completed - timer expired","{"sessionId":"e5bcfde0-ab81-4da1-b090-71eb9eed9a61","gameName":"Pirate Mutiny","roomName":"Main"}"
"2025-10-02T06:15:54.835Z","info","system","Auto-dismissed alerts for session: Session completed","{"sessionId":"e5bcfde0-ab81-4da1-b090-71eb9eed9a61","reason":"Session completed"}"
"2025-10-02T06:14:15.329Z","info","system","Alert created: ⏱ Low Time Remaining","{"alertId":"alert-nFn8EoNtSPtO","sessionId":"e5bcfde0-ab81-4da1-b090-71eb9eed9a61","level":"warning"}"
"2025-10-02T04:57:07.750Z","info","session","Session completed - timer expired","{"sessionId":"275fa308-c5bc-4ff4-bc3b-681322f6d902","gameName":"Pirate Mutiny","roomName":"Main"}"
"2025-10-02T04:57:07.747Z","info","system","Auto-dismissed alerts for session: Session completed","{"sessionId":"275fa308-c5bc-4ff4-bc3b-681322f6d902","reason":"Session completed"}"
"2025-10-02T04:55:27.831Z","info","system","Alert created: ⏱ Low Time Remaining","{"alertId":"alert-COGH_GaCywnC","sessionId":"275fa308-c5bc-4ff4-bc3b-681322f6d902","level":"warning"}"
